Id	Text
1	Abnormality of body height
2	Multicystic kidney dysplasia
3	Mode of inheritance
4	Autosomal dominant inheritance
5	Autosomal recessive inheritance
6	Abnormality of female internal genitalia
7	Functional abnormality of the bladder
8	Recurrent urinary tract infections
9	Neurogenic bladder
10	Urinary urgency
11	Hypoplasia of the uterus
12	Abnormality of the bladder
13	Bladder diverticulum
14	Urinary retention
15	Nocturia
16	Urinary hesitancy
17	Urinary incontinence
18	Megacystis
19	Abnormality of male internal genitalia
20	Inguinal hernia
21	Prostatitis
22	Functional abnormality of male internal genitalia
23	Male hypogonadism
24	Azoospermia
25	Cryptorchidism
26	Testicular atrophy
27	Testicular gonadoblastoma
28	Epididymitis
29	Abnormality of male external genitalia
30	"Ambiguous genitalia, male"
31	Hydrocele testis
32	Abnormality of the testis
33	Abnormality of the penis
34	Male pseudohermaphroditism
35	Epispadias
36	Long penis
37	Chordee
38	Absent external genitalia
39	Hypogonadotrophic hypogonadism
40	Abnormality of the scrotum
41	Scrotal hypoplasia
42	Hypospadias
43	Bifid scrotum
44	Shawl scrotum
45	Hypoplastic male external genitalia
46	Perineal hypospadias
47	"Urethral atresia, male"
48	Macroorchidism
49	Micropenis
50	Abnormality of female external genitalia
51	Abnormality of the clitoris
52	obsolete Clitoromegaly
53	Abnormality of the labia
54	Hypoplastic labia majora
55	Clitoral hypoplasia
56	"Ambiguous genitalia, female"
57	Ambiguous genitalia
58	Fused labia minora
59	Hypoplastic labia minora
60	Labial hypertrophy
61	Labial hypoplasia
62	"Urethral atresia, female"
63	Urethral atresia
64	Abnormality of the ureter
65	Ureterocele
66	Ureteral stenosis
67	Hydroureter
68	Ureteral duplication
69	Ureteropelvic junction obstruction
70	Renal duplication
71	Vesicoureteral reflux
72	Abnormality of the kidney
73	Abnormality of the genital system
74	Abnormality of the urinary system
75	Abnormality of reproductive system physiology
76	Duplicated collecting system
77	Renal insufficiency
78	Horseshoe kidney
79	Ectopic kidney
80	Renal hypoplasia
81	Nephronophthisis
82	Abnormality of the renal tubule
83	Tubular atrophy
84	Proteinuria
85	Abnormality of renal glomerulus morphology
86	Glomerulosclerosis
87	Focal segmental glomerulosclerosis
88	Tall stature
89	Glomerulonephritis
90	Nephrotic syndrome
91	Polyuria
92	Renal agenesis
93	Enlarged kidney
94	Renal cyst
95	Renal corticomedullary cysts
96	Renal dysplasia
97	Renal juxtaglomerular cell hypertrophy/hyperplasia
98	Nephropathy
99	Polycystic kidney dysplasia
100	Proximal tubulopathy
101	Renal phosphate wasting
102	Phenotypic abnormality
103	Abnormality of the genitourinary system
104	Nephrocalcinosis
105	Unilateral renal agenesis
106	Nephritis
107	Renal tubular dysfunction
108	Pelvic kidney
109	Hydronephrosis
110	Renal salt wasting
111	Renal potassium wasting
112	Abnormality of the uterus
113	Uterine leiomyoma
114	Menorrhagia
115	Gonadal dysgenesis
116	Female hypogonadism
117	Hypogonadism
118	Bifid uterus
119	Abnormality of the ovary
120	Ovarian cyst
121	Uterine prolapse
122	Abnormality of the menstrual cycle
123	Amenorrhea
124	Abnormality of the vagina
125	Rectovaginal fistula
126	Decreased fertility
127	Transverse vaginal septum
128	Polycystic ovaries
129	Vaginal atresia
130	Ovarian gonadoblastoma
131	Gonadoblastoma
132	Aplasia of the uterus
133	Abnormality of head or neck
134	Abnormality of the mouth
135	Wide mouth
136	Oral ulcer
